OverallQual,YearBuilt,YearRemodAdd,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,YrSold,ExterQual_TA,ExterQual_TA,ExterQual_TA,ExterQual_TA,BsmtQual_Ex,KitchenQual_Ex,Neighborhood_NoRidge,GarageType_Attchd,BsmtExposure_Gd,KitchenQual_Gd,ExterQual_Gd,ExterQual_Gd,ExterQual_Gd,ExterQual_Gd,ExterQual_Fa,ExterQual_Fa,ExterQual_Fa,ExterQual_Fa,BldgType_1Fam,Neighborhood_NridgHt,BsmtQual_Gd,ExterQual_Ex,ExterQual_Ex,ExterQual_Ex,ExterQual_Ex,BsmtExposure_No
7,2003,2003,706,856,856,854,1710,1,2,1,3,8,2,548,2008,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True
6,1976,1976,978,1262,1262,0,1262,0,2,0,3,6,2,460,2007,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
7,2001,2002,486,920,920,866,1786,1,2,1,3,6,2,608,2008,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
7,1915,1970,216,756,961,756,1717,1,1,0,3,7,3,642,2006,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
8,2000,2000,655,1145,1145,1053,2198,1,2,1,4,9,3,836,2008,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
5,1993,1995,732,796,796,566,1362,1,1,1,1,5,2,480,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
8,2004,2005,1369,1686,1694,0,1694,1,2,0,3,7,2,636,2007,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False
7,1973,1973,859,1107,1107,983,2090,1,2,1,3,7,2,484,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
7,1931,1950,0,952,1022,752,1774,0,2,0,2,8,2,468,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1939,1950,851,991,1077,0,1077,1,1,0,2,5,1,205,2008,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,1965,1965,906,1040,1040,0,1040,1,1,0,3,5,1,384,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
9,2005,2006,998,1175,1182,1142,2324,1,3,0,4,11,3,736,2006,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True
5,1962,1962,737,912,912,0,912,1,1,0,2,4,1,352,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
